"year","p_ctrl"
1992,0
1993,0.0255
1994,0.014
1995,0.0215
1996,0.0245
1997,0.0945
1998,0.1855
1999,0.3005
2000,0.303
2001,0.0915
2002,0.055
2003,0.169
2004,0.112
2005,0.294
2006,0.6945
2007,0.925
2008,1
