"year","pop_mean","CI_low","CI_high"
1992,1013.45918939651,820.549091337525,1359.67644873092
1993,949.912682294218,319.09566457727,1360.25689775247
1994,891.382078787236,608.815091938629,1581.88949091091
1995,405.019374083753,255.723836617216,669.895580280933
1996,267.305143816805,166.987777029655,438.171274357592
1997,170.982510923124,109.539078787596,266.467689621417
1998,145.171116120277,91.3028416815029,232.340403388523
1999,127.046106548465,79.5922661368747,206.764290503654
2000,124.053219287954,77.0148239397682,202.251127807338
2001,147.008079242014,93.9923413080154,234.831591454254
2002,158.062772423927,100.98490006151,245.215365542557
2003,132.430057724174,84.3266346923125,207.255339192288
2004,135.51974176247,86.3324292087319,209.87510931751
2005,113.843685250594,72.5317051972491,178.318164898479
2006,87.2205642264617,55.3708096206124,137.207894346413
2007,69.6479117640347,47.0474557140684,106.825656819225
2008,45.5850598105565,32.8593625450131,68.9294057273863
