"year","p_ctrl"
1992,0
1993,0.0185
1994,0.0145
1995,0.032
1996,0.251
1997,0.8935
1998,0.9625
1999,0.9815
2000,0.988
2001,0.988
2002,0.9875
2003,0.995
2004,0.999
2005,0.9995
2006,1
2007,1
2008,1
