"year","p_ctrl"
1992,0
1993,0.0235
1994,0.0135
1995,0.021
1996,0.0395
1997,0.3045
1998,0.5545
1999,0.72
2000,0.752
2001,0.537
2002,0.433
2003,0.671
2004,0.638
2005,0.8315
2006,0.9745
2007,0.9975
2008,1
