"year","pop_mean","CI_low","CI_high"
1992,1013.45918939651,820.549091337525,1359.67644873092
1993,925.316929856301,342.843322617285,1336.51445813916
1994,841.688437341451,549.58700667089,1405.53642217021
1995,378.697813533337,208.186913097106,594.066200691006
1996,191.695200218273,74.2580943122094,363.950424429444
1997,86.103516583292,27.1236491900131,192.441099024612
1998,49.4519605091431,21.6750812871509,129.361698203309
1999,35.4786269476094,22.049422880848,95.6545681145757
2000,33.2037919604022,24.0110168980806,82.5085508371129
2001,39.6974457853641,29.7639162747876,83.4824447886879
2002,43.906251480257,33.9824308665406,86.2320098234365
2003,39.8099848831043,30.8119650784896,69.778408285092
2004,40.9710021013516,32.0959821433787,63.0678064714438
2005,36.8849577549236,29.3208493030441,51.8014002022807
2006,31.8623101198355,25.7838106068704,42.0679377503783
2007,30.5812786441966,25.2027778685154,37.4658921109027
2008,25.5891208046203,21.4008420417039,31.215184691319
