"year","p_ctrl"
1992,0
1993,0.023
1994,0.0125
1995,0.0215
1996,0.0465
1997,0.535
1998,0.7835
1999,0.893
2000,0.9085
2001,0.7875
2002,0.7265
2003,0.8835
2004,0.893
2005,0.9665
2006,0.9955
2007,1
2008,1
