"year","lambda","lambda.low","lambda.high"
1993,0.920414456412226,0.68505330100249,1.18667878677713
1994,0.9281477194872,0.683881336704806,1.19941661870018
1995,0.537428490641886,0.393895655982481,0.699550319133942
1996,0.793737992359605,0.587767384701041,1.01889990915276
1997,0.695709007339627,0.51652878022613,0.902995528436489
1998,0.973293511681209,0.750037680672842,1.21135334434522
1999,0.977744323569836,0.766349542431311,1.20242803087321
2000,1.02073340604043,0.815683419279955,1.23439042789758
2001,1.22591091319916,0.986734101592926,1.49033746852806
2002,1.09168245720621,0.913514421321189,1.28498241405401
2003,0.916385092567063,0.754456727679687,1.10291532372385
2004,1.09953003273871,0.881156401317149,1.32133013744312
2005,0.920272337511937,0.747129746089737,1.10896281673327
2006,0.879364015332256,0.704308949658802,1.07971650622271
2007,0.884088555481315,0.708946362235593,1.06881286818941
2008,0.778615602418236,0.616782684631308,0.969396404182702
